Open,High,Low,Close,Adj Close,Volume
1.927333,1.994,1.927333,1.990667,1.851291,8346000
2.001333,2.03,1.952667,1.962667,1.825252,9337500
2.031333,2.05,1.897333,1.926,1.791152,6945000
1.941333,2.044667,1.91,2.032667,1.890351,6492000
2.021333,2.021333,1.966667,1.974667,1.836412,3729000
1.893333,1.946,1.870667,1.926667,1.791772,6631500
1.910667,1.935333,1.825333,1.85,1.720473,6715500
1.851333,1.925333,1.85,1.882,1.750232,5155500
1.827333,1.842667,1.762667,1.771333,1.647314,7531500
1.768667,1.790667,1.684,1.737333,1.615695,8115000
1.774,1.838667,1.763333,1.817333,1.690094,5202000
1.835333,1.870667,1.772,1.859333,1.729153,5487000
1.89,1.910667,1.777333,1.777333,1.652894,5890500
1.74,1.766667,1.706667,1.714667,1.594615,5401500
1.758,1.810667,1.744667,1.81,1.683274,3751500
1.832,1.835333,1.773333,1.816667,1.689474,2517000
1.832,1.858,1.81,1.856,1.726053,3277500
1.847333,1.894,1.843333,1.875333,1.744032,1558500
1.853333,1.853333,1.796,1.853333,1.723573,3654000
1.89,1.942,1.867333,1.920667,1.786192,5613000
1.91,1.928667,1.859333,1.861333,1.731013,3543000
1.837333,1.846,1.784667,1.784667,1.659714,2239500
1.682667,1.725333,1.648667,1.724,1.603295,6852000
1.744,1.745333,1.666,1.670667,1.553696,7008000
1.589333,1.592,1.491333,1.536,1.428458,8817000
1.419333,1.482667,1.368,1.378667,1.28214,8475000
1.408,1.420667,1.306667,1.310667,1.218901,9717000
1.333333,1.366667,1.276667,1.330667,1.237501,9301500
1.378,1.401333,1.307333,1.364,1.2685,8331000
1.366667,1.394667,1.230667,1.234667,1.148222,6531000
1.250667,1.330667,1.198,1.310667,1.218901,8373000
1.152667,1.181333,1.080667,1.134,1.054604,12220500
1.193333,1.212,1.107333,1.138,1.058324,9246000
1.093333,1.195333,1.064,1.16,1.078783,11091000
1.192,1.256,1.156,1.208,1.123422,13318500
1.276,1.304,1.254667,1.278667,1.189142,12348000
1.264667,1.277333,1.216,1.224,1.138302,7657500
1.243333,1.288667,1.221333,1.26,1.171782,7986000
1.238,1.286,1.196,1.215333,1.130242,9180000
1.245333,1.250667,1.178,1.204667,1.120323,6303000
1.224667,1.37,1.224667,1.367333,1.2716,11986500
1.338667,1.408667,1.326667,1.388,1.29082,8037000
1.342667,1.342667,1.236667,1.250667,1.163102,8760000
1.294,1.3,1.182667,1.260667,1.172402,9664500
1.266667,1.348,1.257333,1.322667,1.230061,13746000
1.310667,1.310667,1.171333,1.188667,1.105443,16936500
1.129333,1.133333,1.043333,1.096667,1.019884,10143000
1.056,1.138,1.047333,1.075333,1.000044,6549000
1.113333,1.135333,1.050667,1.052,0.978345,13690500
1.0,1.047333,0.988667,1.028,0.956025,18111000
1.08,1.100667,1.019333,1.096,1.019264,14359500
1.144667,1.230667,1.129333,1.212,1.127142,19578000
1.237333,1.306667,1.231333,1.298667,1.207741,18730500
1.33,1.330667,1.275333,1.278,1.188522,11878500
1.274667,1.319333,1.27,1.295333,1.204641,7744500
1.342,1.379333,1.338,1.356667,1.261681,8479500
1.326667,1.348,1.285333,1.290667,1.200302,5545500
1.246667,1.353333,1.223333,1.344667,1.250521,14658000
1.364,1.398,1.312,1.396667,1.29888,9294000
1.428,1.436,1.400667,1.418,1.318719,11154000
1.44,1.484,1.410667,1.410667,1.3119,15354000
1.463333,1.529333,1.44,1.528,1.421018,12424500
1.530667,1.554667,1.511333,1.554,1.445197,8562000
1.553333,1.566667,1.524667,1.557333,1.448297,9262500
1.591333,1.645333,1.555333,1.606667,1.494177,17245500
1.569333,1.646,1.557333,1.624667,1.510916,13198500
1.585333,1.59,1.509333,1.514,1.407998,13114500
1.535333,1.563333,1.514667,1.551333,1.442717,10950000
1.576,1.616667,1.508,1.572,1.461937,10504500
1.618,1.666,1.614,1.665333,1.548736,10131000
1.654,1.668,1.628,1.646,1.530756,10215000
1.629333,1.636667,1.596,1.636667,1.522076,10891500
1.624,1.688667,1.607333,1.682,1.564235,12388500
1.674,1.728667,1.66,1.718667,1.598335,10372500
1.729333,1.790667,1.713333,1.787333,1.662194,9391500
1.766667,1.797333,1.744667,1.796,1.670254,6912000
1.775333,1.808667,1.752,1.791333,1.665914,6469500
1.782,1.783333,1.716667,1.719333,1.598955,7260000
1.680667,1.716667,1.658667,1.715333,1.595235,10165500
1.743333,1.743333,1.69,1.713333,1.593375,8259000
1.696,1.788,1.666,1.778667,1.654134,8484000
1.812,1.863333,1.808,1.832,1.703733,8788500
1.815333,1.827333,1.797333,1.800667,1.674594,6111000
1.774667,1.837333,1.742,1.836,1.707453,8401500
